Time,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig Holstein,Thüringen,Sum,Total death
2020-02-28 10:00:00,10,15,0,0,0,0,0,0,0,25,0,0,0,0,1,0,53,0
2020-02-29 10:00:00,14,15,0,0,0,0,3,0,0,30,1,0,0,0,1,0,66,0
2020-03-01 10:00:00,15,19,0,0,1,1,8,0,1,66,2,0,0,0,2,0,117,0
2020-03-01 15:00:00,15,23,0,0,1,1,8,0,1,74,2,0,0,0,2,0,129,0
2020-03-02 10:00:00,19,25,1,0,1,1,10,0,1,86,2,0,0,0,2,0,150,0
2020-03-02 15:00:00,20,26,1,0,1,2,10,0,1,90,2,0,0,0,2,0,157,0
2020-03-03 10:00:00,26,35,3,1,1,2,10,0,1,101,2,0,1,0,2,1,188,0
2020-03-03 15:00:00,28,37,3,1,2,2,12,0,2,103,2,0,1,0,2,1,196,0
2020-03-04 10:00:00,44,48,6,1,2,2,12,3,4,111,2,1,1,0,2,1,240,0
2020-03-04 15:00:00,50,48,7,1,3,3,12,4,7,115,7,1,1,0,2,1,262,0
2020-03-05 8:00:00,65,52,9,1,3,3,14,4,10,175,7,1,1,0,3,1,349,0
2020-03-05 15:00:00,73,70,13,1,3,5,14,4,18,181,8,1,1,0,7,1,400,0
2020-03-06 7:00:00,91,79,15,1,3,8,15,5,18,281,8,1,1,0,7,1,534,0
2020-03-06 15:00:00,96,117,19,2,4,11,16,5,18,329,10,2,2,0,7,1,639,0
2020-03-07 8:00:00,116,117,24,2,4,12,16,5,19,346,10,2,2,0,8,1,684,0
2020-03-07 15:00:00,170,134,28,2,4,13,17,5,19,373,13,3,4,0,8,2,795,0
2020-03-08 8:00:00,182,148,28,2,4,13,17,7,21,392,15,4,4,0,8,2,847,0
2020-03-08 15:00:00,182,172,40,4,4,13,19,8,21,398,19,4,7,0,9,2,902,0
2020-03-09 8:00:00,199,256,40,6,4,17,20,8,33,484,19,5,10,0,9,2,1112,0
2020-03-09 15:00,204,256,48,6,4,17,26,10,38,484,17,6,12,0,9,2,1139,1
2020-03-10 15:00:00,237,314,48,9,4,29,35,13,49,484,25,7,22,7,9,4,1296,3
2020-03-11 15:00:00,277,366,90,24,21,48,48,17,75,484,25,14,26,15,27,10,1567,3
2020-03-12 15:00:00,454,500,137,30,38,88,99,23,129,688,52,14,45,27,31,14,2369,4
