Time,Aichi,Akita,Chiba,Ehime,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ishikawa,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okinawa,Osaka,Saga,Saitama,Shiga,Shizuoka,Tochigi,Tokushima,Tokyo,Unspecified,Wakayama,Yamaguchi,Yamanashi,Sum,Total death
2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0
2020-01-26,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0
2020-01-28,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0
2020-01-29,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,10,0
2020-01-30,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,13,0
2020-01-31,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,14,0
2020-02-01,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,3,0,0,0,17,0
2020-02-04,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,4,0,0,0,20,0
2020-02-05,2,0,3,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,5,0,0,0,23,0
2020-02-08,2,0,3,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,6,0,0,0,24,0
2020-02-10,2,0,3,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,8,0,0,0,26,0
2020-02-11,2,0,3,0,0,0,0,0,0,1,0,0,2,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,8,0,0,0,27,0
2020-02-12,2,0,3,0,0,0,0,0,0,1,0,0,2,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7,8,0,0,0,28,0
2020-02-13,2,0,4,0,0,0,0,0,0,1,0,0,3,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,8,1,0,0,33,0
2020-02-14,3,0,4,0,0,0,0,0,0,2,0,0,4,0,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,11,9,2,0,0,41,0
2020-02-15,4,0,4,0,0,0,0,0,0,2,0,0,4,0,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,18,9,5,0,0,52,0
2020-02-16,6,0,4,0,0,0,0,0,0,2,0,0,4,0,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,22,9,5,0,0,58,1
2020-02-17,6,0,4,0,0,0,0,0,0,2,0,0,5,0,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,23,12,9,0,0,67,1
2020-02-18,7,0,4,0,0,0,0,0,0,3,0,0,8,0,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,26,12,12,0,0,78,1
2020-02-19,8,0,4,0,0,0,0,0,0,4,0,0,8,0,0,2,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,29,12,12,0,0,84,1
2020-02-20,9,0,5,0,2,0,0,0,0,5,0,0,10,0,0,2,1,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,30,12,12,0,0,94,1
2020-02-21,11,0,7,0,2,0,0,0,0,8,0,1,13,0,1,2,1,0,0,0,0,1,0,0,3,1,0,2,0,0,0,0,33,12,12,0,0,110,1
2020-02-22,15,0,9,0,2,0,0,0,0,17,0,2,17,0,3,2,1,0,0,0,0,1,0,0,3,1,0,2,0,0,1,0,34,12,13,0,0,135,1
2020-02-23,17,0,10,0,2,0,0,0,0,26,0,2,17,0,3,2,1,0,0,0,0,1,0,0,3,1,0,2,0,0,1,0,34,12,13,0,0,147,1
2020-02-24,17,0,10,0,2,0,0,0,0,30,0,3,18,0,3,2,1,0,0,0,0,1,0,0,3,1,0,2,0,0,1,0,39,12,13,0,0,158,1
2020-02-25,20,0,10,0,2,0,0,0,0,35,0,4,18,0,5,2,1,0,0,1,0,1,0,0,3,1,0,2,0,0,1,1,39,12,13,0,0,171,1
2020-02-26,25,0,13,0,2,0,1,0,0,39,0,4,20,0,5,2,1,0,0,2,0,1,0,0,3,1,0,2,0,0,1,1,42,12,13,0,0,190,3
2020-02-27,27,0,13,0,2,0,2,0,0,54,0,5,24,0,5,2,1,0,0,2,0,1,0,0,3,2,0,2,0,0,1,1,43,12,13,0,0,215,5
2020-02-28,28,0,13,0,2,0,2,0,0,66,0,6,25,0,5,2,1,0,0,2,0,1,0,0,3,4,0,2,0,1,1,1,43,12,13,0,0,233,5
2020-02-29,29,0,13,0,2,0,2,0,0,70,0,6,25,1,5,2,1,1,0,2,0,1,1,0,3,4,0,2,0,1,1,1,44,12,13,0,0,242,5
2020-03-01,32,0,14,0,3,0,2,0,0,72,1,6,28,2,5,2,1,1,0,2,0,1,1,0,3,4,0,2,0,1,1,1,46,12,13,0,0,256,6
2020-03-02,32,0,14,1,3,0,2,0,0,77,1,6,34,3,5,2,1,1,0,2,0,1,5,0,3,6,0,2,0,1,1,1,46,12,13,0,0,275,6
2020-03-03,41,0,14,1,3,0,2,0,0,79,3,6,35,3,5,3,1,1,0,2,0,1,5,1,3,8,0,2,0,1,1,1,47,12,13,1,0,295,6
2020-03-04,50,0,15,2,3,0,2,0,0,82,3,6,35,7,6,5,1,1,1,2,0,1,5,1,3,17,0,2,0,1,1,1,51,12,13,1,0,330,6
2020-03-05,58,0,15,2,3,0,2,0,0,83,4,6,39,7,6,6,1,1,1,2,0,1,6,1,3,18,0,4,1,1,2,1,59,12,14,3,0,362,6
2020-03-06,63,2,17,2,3,0,2,0,0,90,8,6,44,9,6,7,1,1,1,3,0,4,6,1,3,31,0,7,1,1,2,1,65,12,14,3,1,417,6
2020-03-07,70,2,21,2,3,1,2,1,1,98,10,6,45,10,6,8,1,1,1,3,0,4,6,1,3,41,0,7,1,1,2,1,71,12,14,3,2,461,6
2020-03-08,81,2,21,2,3,1,2,1,1,101,12,6,45,12,6,8,1,1,1,3,0,4,6,1,3,55,0,8,1,1,2,1,71,12,14,3,2,494,7
2020-03-09,87,2,22,2,3,1,2,1,1,108,16,7,46,12,6,12,1,1,1,3,0,7,8,1,3,55,0,8,1,1,2,1,71,12,14,3,2,523,9
2020-03-10,100,2,23,2,3,1,2,1,1,111,24,7,48,12,6,13,2,1,1,3,0,7,11,1,3,73,0,13,1,2,2,1,74,12,14,3,2,582,12
2020-03-11,106,2,25,2,3,1,2,1,1,118,38,7,51,12,6,15,8,1,1,3,0,8,11,1,3,80,0,15,1,2,2,1,80,12,14,3,2,638,15
2020-03-12,108,2,27,2,3,1,2,3,1,128,46,7,54,12,6,17,8,1,1,3,0,8,14,1,3,89,0,21,1,2,2,1,82,12,14,3,2,687,17
2020-03-13,111,2,33,2,3,1,2,3,1,137,56,7,55,12,6,17,8,1,1,3,0,8,14,1,3,92,1,23,1,2,2,1,84,12,14,3,2,724,19
2020-03-14,118,2,35,2,3,2,2,5,1,144,67,7,56,12,6,17,8,1,1,5,1,8,16,1,3,102,1,30,1,2,2,1,94,12,14,3,2,787,22
2020-03-15,119,2,35,2,3,2,2,5,1,148,78,7,61,12,6,17,9,1,1,5,1,8,16,1,3,106,1,30,2,2,2,1,97,12,15,3,2,818,24
2020-03-16,120,2,35,2,3,2,2,6,1,152,82,7,61,12,6,17,9,1,1,5,1,8,17,1,3,108,1,30,3,2,2,1,97,12,15,3,2,832,27
