Time,Andalucia,Aragón,Asturias,Balearic Islands,Basque Country,Canary Islands,Cantabria,Castilla-La Mancha,Castile and Leon,Catalonia,Extremadura,Galicia,Madrid,Murcia,Navarre,La Rioja,Valencian Community,Sum,Total death
3-4,13,0,2,5,17,7,10,12,11,15,6,1,70,0,3,7,19,228,1
3-5,12,1,5,6,17,8,10,13,11,24,6,1,90,0,3,11,19,285,1
3-6,22,9,7,7,46,16,11,12,14,37,6,4,137,0,3,38,32,401,1
3-7,34,11,7,8,70,17,12,15,21,49,6,4,175,0,3,47,37,516,5
3-8,39,19,8,8,102,20,12,21,30,78,6,6,202,1,6,70,42,670,2
3-9,54,32,10,11,149,22,12,26,33,101,7,19,577,5,3,102,48,1211,7
3-10,71,38,28,13,195,25,12,39,56,124,8,22,782,9,12,155,50,1639,13
3-11,90,49,39,16,225,37,12,71,71,156,9,39,1024,18,46,185,65,2152,5
3-12,115,64,49,22,346,51,16,115,92,260,19,35,1388,26,92,220,94,3004,14
3-13,219,80,67,30,417,70,29,194,169,316,39,85,1990,35,130,243,94,4207,8
3-14,376,121,101,28,521,90,31,289,223,715,70,135,2940,51,146,292,188,6317,36
3-15,437,147,137,28,630,109,51,401,292,715,95,195,3544,71,183,300,409,7744,
3-16,554,174,177,73,630,119,58,567,334,903,111,245,4165,77,274,312,409,9182,
